anime_id,anime_name,anime_link
11359,Dragon_Ball_Kai__Mirai_ni_Heiwa_wo_Goku_no_Tamashii_yo_Eien_ni,https://myanimelist.net/anime/11359/Dragon_Ball_Kai__Mirai_ni_Heiwa_wo_Goku_no_Tamashii_yo_Eien_ni
4793,Pokemon__Pichu_to_Pikachu,https://myanimelist.net/anime/4793/Pokemon__Pichu_to_Pikachu
24261,Hitsugi_no_Chaika_OVA,https://myanimelist.net/anime/24261/Hitsugi_no_Chaika_OVA
29575,Mankitsu_Happening,https://myanimelist.net/anime/29575/Mankitsu_Happening
9751,Strike_Witches_Movie,https://myanimelist.net/anime/9751/Strike_Witches_Movie
31121,Monster_Musume_no_Iru_Nichijou__Hobo_Mainichi_◯◯_Namappoi_Douga,https://myanimelist.net/anime/31121/Monster_Musume_no_Iru_Nichijou__Hobo_Mainichi_◯◯_Namappoi_Douga
22537,Yami_Shibai_2,https://myanimelist.net/anime/22537/Yami_Shibai_2
35997,Märchen_Mädchen,https://myanimelist.net/anime/35997/Märchen_Mädchen
2559,Romeo_no_Aoi_Sora,https://myanimelist.net/anime/2559/Romeo_no_Aoi_Sora
12673,Papa_no_Iukoto_wo_Kikinasai__Pokkapoka,https://myanimelist.net/anime/12673/Papa_no_Iukoto_wo_Kikinasai__Pokkapoka
7559,Fate_stay_night_TV_Reproduction,https://myanimelist.net/anime/7559/Fate_stay_night_TV_Reproduction
23319,Suisei_no_Gargantia__Meguru_Kouro_Haruka,https://myanimelist.net/anime/23319/Suisei_no_Gargantia__Meguru_Kouro_Haruka
18619,Girls___Panzer__Kore_ga_Hontou_no_Anzio-sen_Desu,https://myanimelist.net/anime/18619/Girls___Panzer__Kore_ga_Hontou_no_Anzio-sen_Desu
2449,Koukaku_Kidoutai__Stand_Alone_Complex_-_The_Laughing_Man,https://myanimelist.net/anime/2449/Koukaku_Kidoutai__Stand_Alone_Complex_-_The_Laughing_Man
40230,Housekishou_Richard-shi_no_Nazo_Kantei,https://myanimelist.net/anime/40230/Housekishou_Richard-shi_no_Nazo_Kantei
11859,Queens_Blade__Rebellion,https://myanimelist.net/anime/11859/Queens_Blade__Rebellion
5521,Hayate_no_Gotoku__Atsu_ga_Natsuize_-_Mizugi-hen,https://myanimelist.net/anime/5521/Hayate_no_Gotoku__Atsu_ga_Natsuize_-_Mizugi-hen
4447,Detective_Conan_Movie_12__Full_Score_of_Fear,https://myanimelist.net/anime/4447/Detective_Conan_Movie_12__Full_Score_of_Fear
9063,Toaru_Kagaku_no_Railgun__Entenka_no_Satsuei_Model_mo_Raku_Ja_Arimasen_wa_ne,https://myanimelist.net/anime/9063/Toaru_Kagaku_no_Railgun__Entenka_no_Satsuei_Model_mo_Raku_Ja_Arimasen_wa_ne
963,Love_Hina__Motoko_no_Sentaku_Koi_ka_Ken_Naku_na,https://myanimelist.net/anime/963/Love_Hina__Motoko_no_Sentaku_Koi_ka_Ken_Naku_na
9203,K-On__Ura-On,https://myanimelist.net/anime/9203/K-On__Ura-On
1824,Hadashi_no_Gen,https://myanimelist.net/anime/1824/Hadashi_no_Gen
2602,Kenkou_Zenrakei_Suieibu_Umishou,https://myanimelist.net/anime/2602/Kenkou_Zenrakei_Suieibu_Umishou
40729,Megalo_Box_2,https://myanimelist.net/anime/40729/Megalo_Box_2
8422,Vampire_Knight__Gekiai_no_Portrait,https://myanimelist.net/anime/8422/Vampire_Knight__Gekiai_no_Portrait
95,Turn_A_Gundam,https://myanimelist.net/anime/95/Turn_A_Gundam
31918,Owari_no_Seraph__Nagoya_Kessen-hen_-_Owaranai_Seraph_-_Nagoya_Kessen-hen,https://myanimelist.net/anime/31918/Owari_no_Seraph__Nagoya_Kessen-hen_-_Owaranai_Seraph_-_Nagoya_Kessen-hen
34549,Ryuu_no_Haisha,https://myanimelist.net/anime/34549/Ryuu_no_Haisha
1914,Saiunkoku_Monogatari_2nd_Season,https://myanimelist.net/anime/1914/Saiunkoku_Monogatari_2nd_Season
39567,Keishichou_Tokumubu_Tokushu_Kyouakuhan_Taisakushitsu_Dainanaka__Tokunana,https://myanimelist.net/anime/39567/Keishichou_Tokumubu_Tokushu_Kyouakuhan_Taisakushitsu_Dainanaka__Tokunana
1913,Shonan_Junai_Gumi,https://myanimelist.net/anime/1913/Shonan_Junai_Gumi
4596,Code_Geass__Hangyaku_no_Lelouch_Special_Edition_-_Black_Rebellion,https://myanimelist.net/anime/4596/Code_Geass__Hangyaku_no_Lelouch_Special_Edition_-_Black_Rebellion
18745,Chihayafuru_2__Waga_Miyo_ni_Furu_Nagame_Shima_ni,https://myanimelist.net/anime/18745/Chihayafuru_2__Waga_Miyo_ni_Furu_Nagame_Shima_ni
1017,Majutsushi_Orphen,https://myanimelist.net/anime/1017/Majutsushi_Orphen
2970,Night_Wizard,https://myanimelist.net/anime/2970/Night_Wizard
302,Mirai_Shounen_Conan,https://myanimelist.net/anime/302/Mirai_Shounen_Conan
4334,Heroman,https://myanimelist.net/anime/4334/Heroman
7044,Zan_Sayonara_Zetsubou_Sensei_Bangaichi,https://myanimelist.net/anime/7044/Zan_Sayonara_Zetsubou_Sensei_Bangaichi
34514,Pokemon_Generations,https://myanimelist.net/anime/34514/Pokemon_Generations
36950,Yuragi-sou_no_Yuuna-san_OVA,https://myanimelist.net/anime/36950/Yuragi-sou_no_Yuuna-san_OVA
4037,Cowboy_Bebop__Yose_Atsume_Blues,https://myanimelist.net/anime/4037/Cowboy_Bebop__Yose_Atsume_Blues
37981,Kaijuu_no_Kodomo,https://myanimelist.net/anime/37981/Kaijuu_no_Kodomo
242,Gokusen,https://myanimelist.net/anime/242/Gokusen
385,Gilgamesh,https://myanimelist.net/anime/385/Gilgamesh
3298,Hatenkou_Yuugi,https://myanimelist.net/anime/3298/Hatenkou_Yuugi
13261,Inazuma_Eleven_Go__Chrono_Stone,https://myanimelist.net/anime/13261/Inazuma_Eleven_Go__Chrono_Stone
9963,Detective_Conan_Movie_15__Quarter_of_Silence,https://myanimelist.net/anime/9963/Detective_Conan_Movie_15__Quarter_of_Silence
34777,91_Days__Toki_no_Asase_Subete_no_Kinou_Ashita_Mata_Ashita,https://myanimelist.net/anime/34777/91_Days__Toki_no_Asase_Subete_no_Kinou_Ashita_Mata_Ashita
335,Matantei_Loki_Ragnarok,https://myanimelist.net/anime/335/Matantei_Loki_Ragnarok
6904,Hellsing__Digest_for_Freaks,https://myanimelist.net/anime/6904/Hellsing__Digest_for_Freaks
1034,Ouritsu_Uchuugun__Honneamise_no_Tsubasa,https://myanimelist.net/anime/1034/Ouritsu_Uchuugun__Honneamise_no_Tsubasa
1347,Bubblegum_Crisis,https://myanimelist.net/anime/1347/Bubblegum_Crisis
8457,Yozakura_Quartet__Hoshi_no_Umi,https://myanimelist.net/anime/8457/Yozakura_Quartet__Hoshi_no_Umi
15005,Kyou_no_Asuka_Show,https://myanimelist.net/anime/15005/Kyou_no_Asuka_Show
35075,Hoozuki_no_Reitetsu_2nd_Season,https://myanimelist.net/anime/35075/Hoozuki_no_Reitetsu_2nd_Season
5914,Kanamemo,https://myanimelist.net/anime/5914/Kanamemo
40748,Jujutsu_Kaisen_TV,https://myanimelist.net/anime/40748/Jujutsu_Kaisen_TV
34389,Koro-sensei_Quest,https://myanimelist.net/anime/34389/Koro-sensei_Quest
14237,Busou_Shinki,https://myanimelist.net/anime/14237/Busou_Shinki
1240,Bishoujo_Senshi_Sailor_Moon_SuperS__Sailor_9_Senshi_Shuuketsu_Black_Dream_Hole_no_Kiseki,https://myanimelist.net/anime/1240/Bishoujo_Senshi_Sailor_Moon_SuperS__Sailor_9_Senshi_Shuuketsu_Black_Dream_Hole_no_Kiseki
2471,Doraemon_1979,https://myanimelist.net/anime/2471/Doraemon_1979
1067,Kishin_Houkou_Demonbane_TV,https://myanimelist.net/anime/1067/Kishin_Houkou_Demonbane_TV
19195,Koukaku_Kidoutai_Arise__Ghost_in_the_Shell_-_Border_4_Ghost_Stands_Alone,https://myanimelist.net/anime/19195/Koukaku_Kidoutai_Arise__Ghost_in_the_Shell_-_Border_4_Ghost_Stands_Alone
33190,Planetarian__Hoshi_no_Hito,https://myanimelist.net/anime/33190/Planetarian__Hoshi_no_Hito
19109,Fate_kaleid_liner_Prisma☆Illya_Specials,https://myanimelist.net/anime/19109/Fate_kaleid_liner_Prisma☆Illya_Specials
33899,IDOLiSH7,https://myanimelist.net/anime/33899/IDOLiSH7
2386,One_Piece__Yume_no_Soccer_Ou,https://myanimelist.net/anime/2386/One_Piece__Yume_no_Soccer_Ou
1072,Sweat_Punch,https://myanimelist.net/anime/1072/Sweat_Punch
32555,Stella_no_Mahou,https://myanimelist.net/anime/32555/Stella_no_Mahou
31980,Okusama_ga_Seitokaichou__Seitokaichou_to_Ofuro_Asobi,https://myanimelist.net/anime/31980/Okusama_ga_Seitokaichou__Seitokaichou_to_Ofuro_Asobi
26085,Military,https://myanimelist.net/anime/26085/Military
33983,Onihei,https://myanimelist.net/anime/33983/Onihei
11531,Un-Go__Inga-ron,https://myanimelist.net/anime/11531/Un-Go__Inga-ron
8241,Rio__Rainbow_Gate,https://myanimelist.net/anime/8241/Rio__Rainbow_Gate
35678,Hibike_Euphonium_Movie_3__Chikai_no_Finale,https://myanimelist.net/anime/35678/Hibike_Euphonium_Movie_3__Chikai_no_Finale
24625,Gundam_Build_Fighters_Try,https://myanimelist.net/anime/24625/Gundam_Build_Fighters_Try
1543,Yoake_Mae_yori_Ruriiro_na__Crescent_Love,https://myanimelist.net/anime/1543/Yoake_Mae_yori_Ruriiro_na__Crescent_Love
509,I_My_Me_Strawberry_Eggs,https://myanimelist.net/anime/509/I_My_Me_Strawberry_Eggs
40269,Kengan_Ashura_2nd_Season,https://myanimelist.net/anime/40269/Kengan_Ashura_2nd_Season
37958,Fukigen_na_Mononokean_Tsuzuki,https://myanimelist.net/anime/37958/Fukigen_na_Mononokean_Tsuzuki
603,Futari_wa_Precure,https://myanimelist.net/anime/603/Futari_wa_Precure
35251,Sengoku_Night_Blood,https://myanimelist.net/anime/35251/Sengoku_Night_Blood
31499,Huyao_Xiao_Hongniang,https://myanimelist.net/anime/31499/Huyao_Xiao_Hongniang
37598,Phantom_in_the_Twilight,https://myanimelist.net/anime/37598/Phantom_in_the_Twilight
1066,Shakugan_no_Shana-tan,https://myanimelist.net/anime/1066/Shakugan_no_Shana-tan
1555,Tokimeki_Memorial__Only_Love,https://myanimelist.net/anime/1555/Tokimeki_Memorial__Only_Love
87,Mobile_Suit_Gundam__Chars_Counterattack,https://myanimelist.net/anime/87/Mobile_Suit_Gundam__Chars_Counterattack
618,Juubee_Ninpuuchou__Ryuuhougyoku-hen,https://myanimelist.net/anime/618/Juubee_Ninpuuchou__Ryuuhougyoku-hen
6867,Halo_Legends,https://myanimelist.net/anime/6867/Halo_Legends
37601,Lord_of_Vermilion__Guren_no_Ou,https://myanimelist.net/anime/37601/Lord_of_Vermilion__Guren_no_Ou
2595,DCII__Da_Capo_II,https://myanimelist.net/anime/2595/DCII__Da_Capo_II
194,Macross_Zero,https://myanimelist.net/anime/194/Macross_Zero
35110,Haikyuu_Movie_3__Sainou_to_Sense,https://myanimelist.net/anime/35110/Haikyuu_Movie_3__Sainou_to_Sense
3615,Neo_Angelique_Abyss,https://myanimelist.net/anime/3615/Neo_Angelique_Abyss
107,Ou_Dorobou_Jing,https://myanimelist.net/anime/107/Ou_Dorobou_Jing
20977,Tonari_no_Seki-kun_OVA,https://myanimelist.net/anime/20977/Tonari_no_Seki-kun_OVA
24751,Akuma_no_Riddle__Shousha_wa_Dare_Nukiuchi_Test,https://myanimelist.net/anime/24751/Akuma_no_Riddle__Shousha_wa_Dare_Nukiuchi_Test
84,Mobile_Suit_Gundam_0083__Stardust_Memory,https://myanimelist.net/anime/84/Mobile_Suit_Gundam_0083__Stardust_Memory
822,Initial_D_Extra_Stage,https://myanimelist.net/anime/822/Initial_D_Extra_Stage
9213,Kowarekake_no_Orgel,https://myanimelist.net/anime/9213/Kowarekake_no_Orgel
3515,Saint_Seiya__Meiou_Hades_Elysion-hen,https://myanimelist.net/anime/3515/Saint_Seiya__Meiou_Hades_Elysion-hen
40351,Pokemon_2019,https://myanimelist.net/anime/40351/Pokemon_2019
38807,Goblin_Slayer__Bouken_Kiroku_Youshi_-_Adventure_Sheet,https://myanimelist.net/anime/38807/Goblin_Slayer__Bouken_Kiroku_Youshi_-_Adventure_Sheet
33852,Mekakucity_Reload,https://myanimelist.net/anime/33852/Mekakucity_Reload
17875,Papa_no_Iukoto_wo_Kikinasai_OVA,https://myanimelist.net/anime/17875/Papa_no_Iukoto_wo_Kikinasai_OVA
37154,Grimms_Notes_The_Animation,https://myanimelist.net/anime/37154/Grimms_Notes_The_Animation
22763,Kara_no_Kyoukai__Mirai_Fukuin_-_Extra_Chorus,https://myanimelist.net/anime/22763/Kara_no_Kyoukai__Mirai_Fukuin_-_Extra_Chorus
40485,Strike_the_Blood_IV,https://myanimelist.net/anime/40485/Strike_the_Blood_IV
10249,Toaru_Majutsu_no_Index-tan_II,https://myanimelist.net/anime/10249/Toaru_Majutsu_no_Index-tan_II
31418,KanColle_Movie,https://myanimelist.net/anime/31418/KanColle_Movie
9441,Yume-iro_Pâtissière_SP_Professional,https://myanimelist.net/anime/9441/Yume-iro_Pâtissière_SP_Professional
1087,Kimagure_Orange☆Road,https://myanimelist.net/anime/1087/Kimagure_Orange☆Road
4039,Golgo_13_TV,https://myanimelist.net/anime/4039/Golgo_13_TV
