anime_id,titles,rating,members,genres
20785,"Mahouka Koukou no Rettousei,The Irregular at Magic High School",7.59,651757,"Action,Sci-Fi,Supernatural,Magic,Romance,School"
33206,"Kobayashi-san Chi no Maid Dragon,Miss Kobayashi's Dragon Maid,The maid dragon of Kobayashi-san",8.06,647933,"Slice of Life,Comedy,Fantasy"
2251,Baccano!,8.42,646105,"Action,Comedy,Historical,Mystery,Supernatural"
223,"Dragon Ball,Dragonball,DB",8.03,644409,"Adventure,Comedy,Fantasy,Martial Arts,Shounen,Super Power"
22297,"Fate/stay night: Unlimited Blade Works,Fate/stay night [Unlimited Blade Works],Fate/stay night (2014),Fate - Stay Night",8.24,642023,"Action,Fantasy,Magic,Supernatural"
20787,Black Bullet,7.22,641662,"Action,Sci-Fi,Mystery,Seinen"
37510,"Mob Psycho 100 II,Mob Psycho 100 2nd Season,Mob Psycho Hyaku,Mob Psycho One Hundred",8.87,637042,"Action,Slice of Life,Comedy,Supernatural"
15583,Date A Live,7.27,632278,"Sci-Fi,Harem,Comedy,Romance,Mecha,School"
31478,"Bungou Stray Dogs,Bungo Stray Dogs,Literary Stray Dogs",7.78,628414,"Action,Comedy,Mystery,Seinen,Super Power,Supernatural"
523,"Tonari no Totoro,My Neighbor Totoro,My Neighbour Totoro",8.35,626429,"Adventure,Comedy,Supernatural"
22043,"Fairy Tail (2014),Fairy Tail Series 2,Fairy Tail Season 2",7.81,624774,"Action,Adventure,Comedy,Fantasy,Magic,Shounen"
14345,"Btooom!,BTOOOM!",7.43,624089,"Action,Sci-Fi,Psychological,Seinen"
34572,Black Clover,7.26,623709,"Action,Comedy,Magic,Fantasy,Shounen"
34933,"Kakegurui,Kakegurui: Compulsive Gambler,Gambling School",7.48,621590,"Game,Mystery,Psychological,Drama,School,Shounen"
889,Black Lagoon,8.07,620852,"Action,Seinen"
30015,"ReLIFE,Re LIFE",8.06,619730,"Slice of Life,Romance,School"
1689,"Byousoku 5 Centimeter,5 Centimeters Per Second,Five Centimeters Per Second,Byousoku 5 Centimeter - a chain of short stories about their distance,5 Centimetres Per Second,5 cm per second",7.80,620161,"Drama,Romance,Slice of Life"
777,Hellsing Ultimate,8.43,605961,"Action,Military,Horror,Supernatural,Vampire,Seinen"
1195,"Zero no Tsukaima,The Familiar of Zero,Zero's Familiar",7.37,604834,"Action,Adventure,Harem,Comedy,Magic,Romance,Ecchi,Fantasy,School"
34577,"Nanatsu no Taizai: Imashime no Fukkatsu,The Seven Deadly Sins: Revival of the Commandments",7.99,603405,"Action,Adventure,Fantasy,Magic,Shounen,Supernatural"
30240,"Prison School,Kangoku Gakuen",7.76,601725,"Comedy,Ecchi,Romance,School,Seinen"
16592,"Danganronpa: Kibou no Gakuen to Zetsubou no Koukousei The Animation,Danganronpa: The Animation,Dangan Ronpa: The Animation",7.33,600465,"Mystery,Horror,Psychological,School"
23289,"Gekkan Shoujo Nozaki-kun,Monthly Girls' Nozaki-kun,Gekkan Shoujo Nozaki-kun",8.02,594231,"Comedy,Romance,School"
2966,"Ookami to Koushinryou,Spice and Wolf,Ookami to Koushinryou",8.29,592483,"Adventure,Fantasy,Historical,Romance"
23847,"Yahari Ore no Seishun Love Comedy wa Machigatteiru. Zoku,My Teen Romantic Comedy SNAFU TOO!,Oregairu 2,My Teen Romantic Comedy SNAFU 2,Yahari Ore no Seishun Love Comedy wa Machigatteiru. Second Season,Yahari Ore no Seishun Love Comedy wa Machigatteiru. 2nd Season",8.29,591494,"Slice of Life,Comedy,Drama,Romance,School"
17895,Golden Time,7.80,587010,"Comedy,Drama,Romance"
10719,"Boku wa Tomodachi ga Sukunai,Haganai: I don't have many friends,I Don't Have Many Friends",7.32,584104,"Ecchi,Slice of Life,Comedy,Harem,Romance,School"
15451,"High School DxD New,High School DxD Dai 2-ki,High School DxD 2nd Season,High School DxD Second Season,Highschool DxD 2",7.58,582922,"Action,Harem,Comedy,Demons,Romance,Ecchi,School"
934,"Higurashi no Naku Koro ni,When They Cry,When the Cicadas Cry,The Moment the Cicadas Cry",7.98,577914,"Mystery,Dementia,Horror,Psychological,Supernatural,Thriller"
4654,"Toaru Majutsu no Index,A Certain Magical Index,Toaru Majutsu no Kinsho Mokuroku",7.48,576800,"Action,Magic,Sci-Fi,Super Power"
6045,"Kimi ni Todoke,Kimi ni Todoke: From Me to You,Reaching You",8.04,576061,"Slice of Life,Drama,Romance,School,Shoujo"
37430,"Tensei shitara Slime Datta Ken,That Time I Got Reincarnated as a Slime,TenSura",8.09,575071,"Fantasy,Shounen"
37349,Goblin Slayer,7.51,573495,"Action,Adventure,Fantasy"
10165,"Nichijou,Nichijou - My Ordinary Life,Everyday",8.49,572979,"Slice of Life,Comedy,School,Shounen"
13125,"Shinsekai yori,From the New World,Shin Sekai yori",8.38,568820,"Drama,Horror,Mystery,Psychological,Sci-Fi,Supernatural"
2236,"Toki wo Kakeru Shoujo,The Girl Who Leapt Through Time,Toki wo Kakeru Shojo,TokiKake,Toki o Kakeru Shojo,The Girl Who Cut Time,The Little Girl Who Conquered Time",8.23,565353,"Adventure,Drama,Romance,Sci-Fi"
18115,"Magi: The Kingdom of Magic,Magi: The Labyrinth of Magic 2,Magi Season 2",8.32,563592,"Action,Adventure,Magic,Fantasy,Shounen"
11887,"Kokoro Connect,Kokoroco",7.85,559612,"Slice of Life,Comedy,Supernatural,Drama,Romance,School"
11759,"Accel World,Accelerated World",7.37,558785,"Action,Game,Sci-Fi,Romance,School"
457,"Mushishi,Mushi-Shi",8.70,559095,"Adventure,Slice of Life,Mystery,Historical,Supernatural,Fantasy,Seinen"
24439,"Kekkai Sensen,Blood Blockade Battlefront,Bloodline Battlefront",7.67,554734,"Action,Comedy,Super Power,Supernatural,Vampire,Fantasy,Shounen"
36511,"Tokyo Ghoul:re,Tokyo Kushu:re,Toukyou Kuushu:re",6.67,552006,"Action,Psychological,Supernatural,Mystery,Drama,Horror,Seinen"
35062,"Mahoutsukai no Yome,The Ancient Magus' Bride,The Magician's Bride",8.12,548185,"Slice of Life,Magic,Fantasy,Shounen"
227,"FLCL,Fooly Cooly,Furi Kuri",8.03,548504,"Action,Sci-Fi,Comedy,Parody,Dementia,Psychological,Mecha"
30296,"Rakudai Kishi no Cavalry,Chivalry of a Failed Knight,A Chivalry of the Failed Knight,Rakudai Kishi no Eiyuutan,A Tale of Worst One",7.58,546540,"Action,Romance,Ecchi,Fantasy,School"
27775,"Plastic Memories,Plamemo",7.95,546452,"Sci-Fi,Drama,Romance"
35073,Overlord II,7.82,546017,"Action,Game,Adventure,Supernatural,Magic,Fantasy"
20899,"JoJo no Kimyou na Bouken Part 3: Stardust Crusaders,JoJo's Bizarre Adventure: Stardust Crusaders,Dai San Bu Kujo Jotaro: Mirai e no Isan,JoJo's Bizarre Adventure Part 3",8.16,546910,"Action,Adventure,Supernatural,Drama,Shounen"
12355,"Ookami Kodomo no Ame to Yuki,Wolf Children,The Wolf Children Ame and Yuki",8.67,545956,"Fantasy,Slice of Life"
32935,"Haikyuu!!: Karasuno Koukou vs. Shiratorizawa Gakuen Koukou,Haikyu!! 3rd Season,Haikyuu!! Third Season,Haikyuu!! Karasuno High VS Shiratorizawa Academy",8.91,545947,"Comedy,Sports,Drama,School,Shounen"
28907,"Gate: Jieitai Kanochi nite, Kaku Tatakaeri,GATE,Gate: Thus the JSDF Fought There!",7.78,542041,"Action,Adventure,Fantasy,Military"
14467,"K,K-Project,K -eine weitere Geschichte-",7.55,539373,"Action,Super Power,Supernatural"
35788,"Shokugeki no Souma: San no Sara,Food Wars! The Third Plate,Shokugeki no Soma 3rd Season,Shokugeki no Soma 3",8.24,538114,"Ecchi,School,Shounen"
28623,"Koutetsujou no Kabaneri,Kabaneri of the Iron Fortress",7.26,534533,"Action,Horror,Supernatural,Drama,Fantasy"
11843,"Danshi Koukousei no Nichijou,Daily Lives of High School Boys",8.29,532763,"Slice of Life,Comedy,School"
1482,"D.Gray-man,D. Gray-man,D. Grey-man",8.07,532559,"Action,Adventure,Comedy,Super Power,Demons,Shounen"
